reporter_id,q_mode,method_id,forecast_cv,gamma_from,gamma_to,own_delivery_increment_kw,outside_delivery_decrement_kw,feeder_delivery_increment_kw,idle_award_increment_kw,stepwise_consequence_equivalent_ratio
p001,Q95,fairness_qp,0.3,1.0,1.1,1.6545446195387579,2.1570368250266836,-0.5024922054879255,0.7520657361539812,2.8681493137257386
p001,Q95,fairness_qp,0.3,1.1,1.2,1.5501374837445792,2.1936889229441645,-0.6435514391995856,0.7046079471566269,3.1133468360619143
p001,Q95,fairness_qp,0.3,1.2,1.3,1.4370683819776575,2.1832501487003553,-0.7461817667226978,0.653212900898939,3.342325520049908
p001,Q95,fairness_qp,0.3,1.3,1.4,0.729799666476752,2.130637643308966,-1.4008379768322143,1.1884344630160026,1.7928103817368655
p001,Q95,fairness_qp,0.3,1.4,1.5,0.5449095496098955,2.0427988739392666,-1.4978893243293712,1.19880100914177,1.7040349969355804
p001,Q95,fairness_qp,0.3,1.5,1.6,0.4910615178502775,1.9278326377697441,-1.4367711199194666,1.0803353392706203,1.7844761415203771
p001,Q95,fairness_qp,0.3,1.6,1.7,0.4391202003947714,1.7940042253691835,-1.354884024974412,0.9660644408684971,1.8570233511093361
p001,Q95,fairness_qp,0.3,1.7,1.8,0.38999571998395155,1.6489988105920643,-1.2590030906081129,0.8579905839646851,1.921931127696312
p001,Q95,fairness_qp,0.3,1.8,1.9,0.3442955305037326,1.499417307282855,-1.1551217767791222,0.7574501671082159,1.9795590157532237
p001,Q95,fairness_qp,0.3,1.9,2.0,0.3023368224528977,1.350490448438324,-1.0481536259854263,0.6651410093963737,2.030382173644527
p001,Q95,flat_level,0.05,1.0,1.1,0.6777421875000036,13.292007953659208,-12.614265766159205,2.9368828124999995,4.525889796176268
p001,Q95,flat_level,0.1,1.0,1.1,1.1295703125000014,13.173329311215683,-12.043758998715681,2.4850546875000017,5.301021896008344
p001,Q95,flat_level,0.1,1.1,1.2,0.2259140624999989,14.716301064730153,-14.490387002230154,3.3887109374999973,4.342743106789457
p001,Q95,flat_level,0.2,1.0,1.1,1.1295703125000014,12.283239492890182,-11.15366918039018,2.4850546875000017,4.942844740872598
p001,Q95,flat_level,0.2,1.1,1.2,1.1295703125000014,13.721956398194465,-12.592386085694462,2.485054687499995,5.521792525217614
p001,Q95,flat_level,0.2,1.2,1.3,0.2259140624999989,15.254908929353828,-15.028994866853829,3.3887109375000044,4.501684921112811
p001,Q95,flat_level,0.2,1.3,1.4,0.07367062909434396,5.288129963476037,-5.214459334381694,1.1050594364151525,4.785380577022081
p001,Q95,flat_level,0.3,1.0,1.1,1.1295703125000014,10.799756462347828,-9.670186149847826,2.4850546875000017,4.345882815646414
p001,Q95,flat_level,0.3,1.1,1.2,1.1295703125000014,13.340355743167894,-12.210785430667892,2.485054687499995,5.368234272779127
p001,Q95,flat_level,0.3,1.2,1.3,1.1295703125000014,15.18121371713472,-14.051643404634717,2.4850546875000017,6.109005887676147
p001,Q95,flat_level,0.3,1.3,1.4,0.07367062909433703,5.2496609607052065,-5.175990331610869,1.1050594364151594,4.750568872327119
p001,Q95,max_export_lp,0.1,1.2,1.3,4.524764449925778e-05,4.78889043767361e-05,-2.641259877478319e-06,3.016509632358666e-06,15.87560134501903
p001,Q95,max_export_lp,0.1,1.4,1.5,1.0118866661246173e-05,1.0701359381970477e-05,-5.824927207243036e-07,6.745911086680767e-07,15.863475288162942
p001,Q95,max_export_lp,0.1,1.5,1.6,1.109127560627865e-05,1.1756181958477718e-05,-6.649063521990684e-07,7.3941837375191e-07,15.899228874750897
p001,Q95,max_export_lp,0.1,1.8,1.9,7.230463155635802e-05,7.672423979129817e-05,-4.419608234940142e-06,4.820308770192572e-06,15.91687243475754
p001,Q95,max_export_lp,0.2,1.2,1.3,3.318160596288422e-05,4.4695623258039774e-05,-1.1514017295155554e-05,1.5082548168732224e-05,2.9634000009825066
p001,Q95,max_export_lp,0.2,1.4,1.5,7.420502216165525e-06,9.953257332911969e-06,-2.5327551167464435e-06,3.3729555537487244e-06,2.9509008269764645
p001,Q95,max_export_lp,0.2,1.5,1.6,8.13360211127101e-06,1.1042495459689938e-05,-2.9088933484189283e-06,3.69709186875955e-06,2.98680580620652
p001,Q95,max_export_lp,0.2,1.8,1.9,5.302339647211829e-05,7.237733892079268e-05,-1.9353942448674388e-05,2.4101543854432306e-05,3.003016709549185
p001,Q95,max_export_lp,0.3,1.2,1.3,3.318160596635367e-05,4.276891802171279e-05,-9.58731205535912e-06,1.5082548165262777e-05,2.8356559881715215
p001,Q95,max_export_lp,0.3,1.4,1.5,7.420502216165525e-06,9.526870185100345e-06,-2.106367968934819e-06,3.3729555537487244e-06,2.824487317810079
p001,Q95,max_export_lp,0.3,1.5,1.6,8.13360211127101e-06,1.056254093911857e-05,-2.42893882784756e-06,3.69709186875955e-06,2.8569863325204623
p001,Q95,max_export_lp,0.3,1.8,1.9,5.3023396475587736e-05,6.921169562121299e-05,-1.618829914562525e-05,2.410154385096286e-05,2.8716706302798927
p001,Q95,weighted_proportional,0.0,1.1,1.2,2.387422730828363,5.568114915825199,-3.180692184996836,0.5421650872524177,10.270146578495623
p001,Q95,weighted_proportional,0.05,1.0,1.1,2.885057025165165,5.139753774686777,-2.254696749521612,0.07670014182322576,67.01100744419217
