trajectory_id,interval,penalty_to_export_value_ratio,replay_gate_triggered,replay_gate_reason,replay_total_delivery_gain_mw,replay_outsider_delivery_gain_mw,replay_total_delivery_recovery_kw,replay_outsider_delivery_recovery_kw
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,4,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0385124723508,0.0584649086872,38.5124723508,58.4649086872
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,5,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0327844453184,0.0716530371419,32.7844453184,71.6530371419
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,6,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0164497187031,0.0528767762261,16.4497187031,52.8767762261
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,7,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0170655544268,0.0550862957164,17.0655544268,55.0862957164
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,8,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0211009908822,0.0541570489158,21.1009908822,54.1570489158
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,9,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0188220880051,0.0543105944718,18.8220880051,54.3105944718
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,10,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0324465704661,0.0639550789982,32.4465704661,63.9550789982
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,11,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0497460978296,0.0653158711787,49.7460978296,65.3158711787
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,12,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0473600107192,0.073207131036,47.3600107192,73.207131036
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,13,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0429735577253,0.067185414531,42.9735577253,67.185414531
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,14,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0425674344431,0.0728474260091,42.5674344431,72.8474260091
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,15,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.027529774096,0.0542661121813,27.529774096,54.2661121813
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,16,0,True,RECOVERABLE_ALLOCATION_EXTERNALITY,0.0300097682099,0.0600329437703,30.0097682099,60.0329437703
