trajectory_id,scenario_id,profile_id,q_mode,method_id,control_id,delivery_change_kw,jain_change_percentage_points,minimum_voltage_margin_mpu,maximum_loading_ratio,maximum_mva_excess,matched_q_pair_pass_rate
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,weighted_proportional,DELIVERY_RATIO_CF_BETA_050,-1.02746836277,-0.160526132271,7.24221108873,0.909090915166,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::weighted_proportional,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,weighted_proportional,EXTERNALITY_CF_BETA_025,-0.56779055377,-0.0997131313786,7.26131082028,0.909090917618,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,weighted_proportional,EXTERNALITY_CF_BETA_050,-3.17736653499,-0.116215238634,7.21114497054,0.909090918382,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::weighted_proportional,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,weighted_proportional,EXTERNALITY_CF_BETA_100,-46.1925267527,-1.81065253662,7.04629341103,0.909090925401,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::weighted_proportional,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,weighted_proportional,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-2.5347680749,-0.348977135981,7.33658313633,0.909090919745,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::equal_kw_reduction,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,equal_kw_reduction,NO_FEEDBACK,-4.51939976283,-1.1957496442,7.90965529199,0.90909089915,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,equal_kw_reduction,DELIVERY_RATIO_CF_BETA_050,-0.795595439465,-0.529368455275,7.75066724114,0.90909091177,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::equal_kw_reduction,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,equal_kw_reduction,EXTERNALITY_CF_BETA_025,-0.691584826968,-0.353602947758,7.77716638364,0.909090926228,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,equal_kw_reduction,EXTERNALITY_CF_BETA_050,-3.80650601442,-0.341815340839,7.7239181011,0.909090922952,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::equal_kw_reduction,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,equal_kw_reduction,EXTERNALITY_CF_BETA_100,-75.4460750087,1.32283791114,7.35702289948,0.909090915339,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,equal_kw_reduction,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-7.24914162778,-0.816754636302,7.85422946729,0.909090919271,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::flat_level,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,flat_level,NO_FEEDBACK,0,0,5.56306508386,0.90909089835,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::flat_level,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,flat_level,DELIVERY_RATIO_CF_BETA_050,0,0,5.56306508386,0.90909089835,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::flat_level,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,flat_level,EXTERNALITY_CF_BETA_025,0,0,5.56306508386,0.90909089835,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::flat_level,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,flat_level,EXTERNALITY_CF_BETA_050,3.34244069808,0.13441285514,5.56306508386,0.909090921584,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::flat_level,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,flat_level,EXTERNALITY_CF_BETA_100,71.0653923994,1.85667070626,5.56306508386,0.90909091705,0,1
DF_SINGLE_P021::INTERMITTENT_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::flat_level,DF_SINGLE_P021,INTERMITTENT_SHORTFALL,Q0,flat_level,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,2.18987814953,0.0847773517725,5.56306508386,0.909090913606,0,1
