Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M02,2013-06-27,Equal-total control,1.2619803668821992,2.1761741948846596,0.9141938280024606,-6.320458423750423,0
M03,2013-01-02,No feedback,3.4426796195341907,3.9257744262779894,0.4830948067437991,-1.3890798963563604,0
M03,2013-01-02,Previous-day persistence,3.229478851167093,3.6020052624950116,0.37252641132791864,-1.6010699610414523,0
M03,2013-01-02,ECF,3.5180635485961673,4.037154832342715,0.5190912837465473,-1.314381036963361,7
M03,2013-01-02,Equal-total control,3.4426921416033913,3.9257905869062535,0.48309844530286217,-1.38906751387569,0
M03,2013-01-03,No feedback,3.7684253396031764,3.9299546581141263,0.16152931851094998,-0.7071183768144366,0
M03,2013-01-03,Previous-day persistence,2.9553256390265945,3.019322078131448,0.06399643910485317,-1.5155607890726093,0
M03,2013-01-03,ECF,3.8287445191791956,3.9625444640753473,0.13379994489615116,-0.647443880230628,16
M03,2013-01-03,Equal-total control,3.768458178230965,3.9299879337494685,0.16152975551850401,-0.7070858688377915,0
M03,2013-01-04,No feedback,3.9289413490511644,4.143449610710248,0.21450826165908377,-1.1665099223900417,0
M03,2013-01-04,Previous-day persistence,3.692642888230111,3.8520113096635455,0.15936842143343435,-1.4019671189682357,0
M03,2013-01-04,ECF,3.995609629542742,4.182594754628263,0.18698512508552118,-1.1006537815682227,18
M03,2013-01-04,Equal-total control,3.928917327964757,4.143425428860423,0.21450810089566674,-1.1665337158625837,0
M03,2013-01-05,No feedback,4.036527149343117,4.170308919885661,0.13378177054254453,-2.082874997605693,0
M03,2013-01-05,Previous-day persistence,3.6921104690431497,3.7326154963997773,0.04050502735662774,-2.425297757532741,0
M03,2013-01-05,ECF,4.068339119279986,4.1854645653437235,0.11712544606373737,-2.051457800651803,16
M03,2013-01-05,Equal-total control,4.036552541919242,4.170334551432475,0.1337820095132327,-2.0828498786964205,0
M03,2013-01-06,No feedback,4.043257652147174,4.161337004465949,0.11807935231877477,-1.919820548532528,0
M03,2013-01-06,Previous-day persistence,3.7110951104283503,3.737805573037728,0.026710462609378385,-2.2502731231894932,0
M03,2013-01-06,ECF,4.104762980856258,4.202555212587421,0.09779223173116403,-1.8589082969932724,16
M03,2013-01-06,Equal-total control,4.043281880563612,4.161361523000112,0.11807964243650029,-1.9197966529215313,0
M03,2013-01-07,No feedback,3.791312226569071,3.975128661578319,0.18381643500924794,-1.641792934666248,0
M03,2013-01-07,Previous-day persistence,3.4274647085191923,3.5270850148750004,0.09962030635580837,-2.003497802073419,0
M03,2013-01-07,ECF,3.8638422507291685,4.038779312876904,0.1749370621477352,-1.5699553545837033,18
M03,2013-01-07,Equal-total control,3.7913007198568907,3.975116982620526,0.18381626276363533,-1.6418043360838437,0
M03,2013-01-08,No feedback,3.674238928466312,3.966167691134142,0.29192876266783024,-6.4122206759958855,0
M03,2013-01-08,Previous-day persistence,3.5467388242999522,3.741634992776545,0.1948961684765928,-6.540188664293805,0
M03,2013-01-08,ECF,3.7410195840364038,4.011769364365655,0.27074978032925145,-6.345891079205745,17
M03,2013-01-08,Equal-total control,3.674155264846526,3.9653149104668053,0.2911596456202795,-6.412303738385127,0
M03,2013-01-12,No feedback,3.71055260722968,4.186395458473967,0.47584285124428666,-3.364659450148836,0
M03,2013-01-12,Previous-day persistence,3.3809671688284633,3.7258672698452115,0.34490010101674834,-3.6929853182829246,0
M03,2013-01-12,ECF,3.6947563245873916,4.1555398430668795,0.4607835184794881,-3.380363893796133,7
M03,2013-01-12,Equal-total control,3.710469063195693,4.185357573237752,0.4748885100420599,-3.36474294022497,0
M03,2013-01-13,No feedback,2.5669678755362533,3.7161515158708927,1.149183640334639,-2.701557022804469,0
M03,2013-01-13,Previous-day persistence,1.8650980992327661,2.716346601530664,0.8512485022978982,-3.4004180065114826,0
M03,2013-01-13,ECF,2.6619599259048004,3.929549828061087,1.2675899021562866,-2.607312278118212,9
M03,2013-01-13,Equal-total control,2.5669502909745407,3.709970306249672,1.1430200152751318,-2.701574461063318,0
M03,2013-01-14,No feedback,3.460161962965765,3.8982194197697413,0.43805745680397623,-1.0767544061192182,0
M03,2013-01-14,Previous-day persistence,2.1768154117946814,2.3963028483790696,0.21948743658438813,-2.3546635503682287,0
M03,2013-01-14,ECF,3.54327518549274,3.949406234102617,0.4061310486098774,-0.9945449722196719,17
M03,2013-01-14,Equal-total control,3.4600130904370148,3.8980586030176623,0.43804551258064756,-1.0769028078246756,0
M03,2013-01-15,No feedback,4.192003013041527,4.435079640848462,0.24307662780693484,-0.26446448333035627,0
M03,2013-01-15,Previous-day persistence,3.65074531603012,3.7537528669805442,0.103007550950424,-0.8024699362101353,0
M03,2013-01-15,ECF,4.217273029317422,4.4345235775744065,0.21725054825698528,-0.2394784039116686,15
M03,2013-01-15,Equal-total control,4.1920000490849905,4.435076750883678,0.24307670179868796,-0.264467419138057,0
M03,2013-01-16,No feedback,3.777028965596428,3.9743292183312895,0.1973002527348612,-1.2721311076180808,0
M03,2013-01-16,Previous-day persistence,3.317734963369255,3.430747662027268,0.11301269865801292,-1.7290967881178692,0
M03,2013-01-16,ECF,3.8271731521667514,4.000402891878641,0.17322973971188976,-1.2225828042050768,17
M03,2013-01-16,Equal-total control,3.777037049350155,3.9743374551150747,0.19730040576491964,-1.2721230798245364,0
M03,2013-01-17,No feedback,3.859609783345241,4.083268830160908,0.2236590468156675,-1.9900367082381358,0
M03,2013-01-17,Previous-day persistence,3.547914210421105,3.6999205776646145,0.15200636724350908,-2.300010613417795,0
M03,2013-01-17,ECF,3.912742327832879,4.118107272114878,0.20536494428199917,-1.937519737900993,13
M03,2013-01-17,Equal-total control,3.859609852997943,4.083268882246092,0.22365902924814898,-1.9900366570435362,0
M03,2013-01-18,No feedback,3.5023477681587147,4.018739022001352,0.5163912538426376,-5.8300380949782244,0
M03,2013-01-18,Previous-day persistence,3.341717928620132,3.737495294509072,0.3957773658889404,-5.9905106022639885,0
M03,2013-01-18,ECF,3.5930270474168498,4.060374329787658,0.4673472823708082,-5.740027473039734,19
M03,2013-01-18,Equal-total control,3.5023472035867123,4.01389295197023,0.5115457483835177,-5.83003891403529,0
M03,2013-01-19,No feedback,3.4625648796220476,4.273833568800818,0.8112686891787699,-1.5586392744137998,0
M03,2013-01-19,Previous-day persistence,3.111069834940159,3.65464437822659,0.5435745432864311,-1.9084377877683696,0
M03,2013-01-19,ECF,3.538192981635492,4.362330272945927,0.8241372913104352,-1.4837772827738553,11
M03,2013-01-19,Equal-total control,3.4624424182894304,4.258591969243364,0.796149550953933,-1.5587613122484738,0
M03,2013-01-20,No feedback,2.7908712013810892,4.210643615304156,1.419772413923067,-2.0594541337133756,0
M03,2013-01-20,Previous-day persistence,2.3405057393469266,3.3185515696598555,0.9780458303129289,-2.5081989563539078,0
M03,2013-01-20,ECF,2.788047785658306,4.131460669483532,1.3434128838252266,-2.0622649717404338,5
M03,2013-01-20,Equal-total control,2.790869213170578,4.210639647743825,1.4197704345732487,-2.059456090516801,0
M03,2013-01-21,No feedback,4.1207454511278225,4.393365420702166,0.27261996957434326,-0.6860702074609079,0
M03,2013-01-21,Previous-day persistence,3.054292520169231,3.10161314908014,0.047320628910909046,-1.747559446455279,0
