reporter_id,reporter_bus_id,gamma,q_mode,method_id,matched_q_pair_pass,reference_total_export_mw,reported_total_export_mw,total_export_change_mw,redistribution_mw,reporter_access_gain_mw,other_participant_access_loss_mw,reported_maximum_loading_ratio,reported_minimum_voltage_pu
p023,52,1.1,Q95,flat_level,1,1.1849636607191736,1.1752862777655144,-0.009677382953659164,0.00845331647682954,0.0036146250000000033,0.013292007953659077,0.9090908957299626,0.9543714432555908
p023,52,1.1,Q95,max_export_lp,1,1.6572322873433465,1.6572322872262562,-1.170903374259069e-10,4.19793968174393e-08,0.0,1.952081584745413e-08,0.9090909000993035,0.9562656116295446
p023,52,1.1,Q95,fairness_qp,1,1.5948810871865815,1.5941498922722228,-0.0007311949143586904,0.002772157000601291,0.002406559543405934,0.0031377544577806333,0.9090908962570271,0.956047717237426
p023,52,1.2,Q0,weighted_proportional,1,1.5070032969994482,1.5021867732943759,-0.004816523705072351,0.008299606837611512,0.005891344985075351,0.010707868690147674,0.9090908986238352,0.9572481426780786
p023,52,1.2,Q0,equal_kw_reduction,1,1.612487277003052,1.610373210771992,-0.002114066231060141,0.007964099797217697,0.006907066681687578,0.009021132912747818,0.9090908963695842,0.9577965646090635
p023,52,1.2,Q0,flat_level,1,1.1849636607191736,1.1640520224119129,-0.020911638307260727,0.017685069153630304,0.0072292499999999996,0.02814088830726061,0.9090909012423476,0.9554962382417195
p023,52,1.2,Q0,max_export_lp,1,1.6572322875094938,1.657232287090718,-4.187759028440041e-10,1.4148866267488366e-07,0.0,7.972698419815225e-08,0.9090909102071739,0.9580058040696207
p023,52,1.2,Q0,fairness_qp,1,1.5948810760742278,1.5932136430704653,-0.0016674330037624863,0.005494843883732176,0.004661127377148234,0.006328560385613408,0.909090902657701,0.9577307601604391
p023,52,1.2,Q95,weighted_proportional,1,1.5070032970001674,1.5021867732946796,-0.004816523705487796,0.008299606837812014,0.0058913449850680755,0.010707868690555952,0.9090909121940853,0.9556852964401644
p023,52,1.2,Q95,equal_kw_reduction,1,1.612487277003052,1.610373210771992,-0.002114066231060141,0.007964099797217697,0.006907066681687578,0.009021132912747818,0.9090909057887678,0.9561053902349873
p023,52,1.2,Q95,flat_level,1,1.1849636607191736,1.1640520224119129,-0.020911638307260727,0.017685069153630304,0.0072292499999999996,0.02814088830726061,0.9090909055826606,0.9543429559092081
p023,52,1.2,Q95,max_export_lp,1,1.6572322873433465,1.6572322872740173,-6.932920904034745e-11,2.9710928497518087e-08,0.0,1.4363151605578661e-08,0.9090909000014007,0.9562656117267889
p023,52,1.2,Q95,fairness_qp,1,1.5948810871865815,1.5932136415179265,-0.0016674456686549544,0.005494856491898408,0.004661133657570982,0.006328579326225834,0.909090896033247,0.9560548552175476
p023,52,1.3,Q0,weighted_proportional,1,1.5070032969994482,1.499100763443957,-0.007902533555491198,0.012737764566108045,0.008786497788362473,0.016689031343853616,0.9090909075586565,0.9572502847714977
p023,52,1.3,Q0,equal_kw_reduction,1,1.612487277003052,1.6085644830855081,-0.00392279391754391,0.012296076478856659,0.010334679520084697,0.01425747343762862,0.9090908972187773,0.9578092192735592
p023,52,1.3,Q0,flat_level,1,1.1849636607191736,1.1511589198748342,-0.033804740844339376,0.027746245422169684,0.010843875000000003,0.044648615844339365,0.9090908995340178,0.9554509856561841
p023,52,1.3,Q0,max_export_lp,1,1.6572322875094938,1.6572322871711183,-3.383755498020946e-10,1.1434249971896751e-07,0.0,6.431061766974666e-08,0.9090908952729627,0.9580058042285983
p023,52,1.3,Q0,fairness_qp,1,1.5948810760742278,1.5921282564974275,-0.0027528195768002917,0.008127536627540885,0.0067511268364032866,0.009503946415940977,0.9090909072294104,0.9577385146755347
p023,52,1.3,Q95,weighted_proportional,1,1.5070032970001674,1.499100763442829,-0.007902533557338387,0.012737764566987185,0.008786497788317991,0.01668903134565638,0.9090909134170996,0.9556869690381501
p023,52,1.3,Q95,equal_kw_reduction,1,1.612487277003052,1.6085644830855081,-0.00392279391754391,0.012296076478856659,0.010334679520084697,0.01425747343762862,0.9090908985441992,0.9561151212238428
p023,52,1.3,Q95,flat_level,1,1.1849636607191736,1.1511589198748342,-0.033804740844339376,0.027746245422169684,0.010843875000000003,0.044648615844339365,0.9090909051029106,0.9543082896672791
p023,52,1.3,Q95,max_export_lp,1,1.6572322873433465,1.6572322870304022,-3.129443371108209e-10,1.0604565608155142e-07,0.0,5.706353225880256e-08,0.9090908905685171,0.9562656114212955
p023,52,1.3,Q95,fairness_qp,1,1.5948810871865815,1.5921282559511893,-0.0027528312353921613,0.0081275446287249,0.0067511290110287905,0.009503960246421009,0.9090908951951439,0.9560608167621268
p023,52,1.4,Q0,weighted_proportional,1,1.5070032969994482,1.4955812563094248,-0.011422040690023394,0.017356121030002537,0.011645100684990774,0.023067141375014304,0.90909089908398,0.9572503688604082
p023,52,1.4,Q0,equal_kw_reduction,1,1.612487277003052,1.6062404863738597,-0.006246790629192311,0.016867919775658442,0.013744524461062342,0.019991315090254543,0.9090908918497508,0.957819776191071
p023,52,1.4,Q0,flat_level,1,1.1849636607191736,1.1466226810481521,-0.03834097967102146,0.03119309490102022,0.0120226050655095,0.05036358473653094,0.9090909023834266,0.9554346612863354
p023,52,1.4,Q0,max_export_lp,1,1.6572322875094938,1.6572322870913645,-4.1812930895446243e-10,1.4480315423343135e-07,0.0,8.06851832761777e-08,0.9090909026877962,0.9580058040940248
p023,52,1.4,Q0,fairness_qp,1,1.5948810760742278,1.5909474990180732,-0.003933577056154602,0.010635770363522356,0.008668981830838276,0.012602558891599704,0.9090908957107209,0.9577449054569919
p023,52,1.4,Q95,weighted_proportional,1,1.5070032970001674,1.4955812563068955,-0.011422040693271907,0.017356121031540266,0.01164510068490432,0.023067141378176212,0.9090909039881749,0.9556870643297235
