Behavior,Control,Seed,Date,Contiguous block,Authorization (MWh),Delivery (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals,Failed observed intervals,Failed replay intervals
No preference update,ECF,2003,2013-01-15,2,4.159500139183327,3.9481215568386374,0.21137858234468965,-0.5103586468481678,13,0,0
No preference update,Same update without qualification,2003,2013-01-15,2,4.2123726032112145,4.017893931066138,0.19447867214507647,-0.44153405143365465,0,0,0
No preference update,Equal-total shadow,2003,2013-01-15,2,4.179780271799907,3.947593645644173,0.23218662615573438,-0.510886700219751,0,0,0
No preference update,No feedback,2003,2013-01-16,2,4.293219007506433,3.980390923657015,0.3128280838494178,-1.0760999921033036,0,0,0
No preference update,ECF,2003,2013-01-16,2,4.280522768327378,3.9790054060225137,0.3015173623048646,-1.0774715025285506,11,0,0
No preference update,Same update without qualification,2003,2013-01-16,2,4.24269747202052,3.9577574909628015,0.2849399810577188,-1.0986569598776141,0,0,0
No preference update,Equal-total shadow,2003,2013-01-16,2,4.293235549007211,3.980407308259349,0.3128282407478625,-1.0760838256097622,0,0,0
No preference update,No feedback,2003,2013-01-17,2,4.348223327454012,4.019759801836821,0.3284635256171915,-1.8366972190909425,0,0,0
No preference update,ECF,2003,2013-01-17,2,4.329252142803048,4.005544776517193,0.3237073662858543,-1.850792311675604,12,0,0
No preference update,Same update without qualification,2003,2013-01-17,2,4.354720361503585,4.023986430886652,0.3307339306169325,-1.832388912412219,0,0,0
No preference update,Equal-total shadow,2003,2013-01-17,2,4.348174018000304,4.019710575779213,0.32846344222109036,-1.8367459401091024,0,0,0
No preference update,No feedback,2003,2013-01-18,2,4.214609992938835,3.6356556497677617,0.5789543431710735,-5.707028202478956,0,0,0
No preference update,ECF,2003,2013-01-18,2,4.213679576209332,3.6452703443803354,0.5684092318289966,-5.697348740681538,12,0,0
No preference update,Same update without qualification,2003,2013-01-18,2,4.174674375359353,3.6310856522223287,0.5435887231370236,-5.711847784420263,0,0,0
No preference update,Equal-total shadow,2003,2013-01-18,2,4.214631903624241,3.635679624488174,0.5789522791360673,-5.707004529114947,0,0,0
No preference update,No feedback,2003,2013-01-19,2,4.117621321091983,3.225581029953738,0.892040291138245,-1.796758726713499,0,0,0
No preference update,ECF,2003,2013-01-19,2,4.143845613800783,3.2793573535287392,0.8644882602720436,-1.7436509342278517,8,0,0
No preference update,Same update without qualification,2003,2013-01-19,2,3.9470904906731046,3.222628106336044,0.7244623843370609,-1.7998336032410633,0,0,0
No preference update,Equal-total shadow,2003,2013-01-19,2,4.117622471659385,3.2255720488993815,0.8920504227600035,-1.7967676085615332,0,0,0
