Setting,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
PV150,2013-01-23,Equal-total control,3.8879064735009994,4.5987175061657535,0.7108110326647541,-0.8637090661185671,0
PV150,2013-01-23,No feedback,3.8879327880546564,4.598744407453421,0.7108116193987646,-0.8636830247397548,0
PV150,2013-01-23,Previous-day persistence,3.3541099373298007,3.736521753924603,0.3824118165948026,-1.395421466334963,0
PV150,2013-01-24,ECF,4.399309596225112,4.79998939318445,0.4006797969593388,-0.5380822186121726,15
PV150,2013-01-24,Equal-total control,4.392226379539489,4.826891082412395,0.4346647028729079,-0.5452175771730995,0
PV150,2013-01-24,No feedback,4.392205631160999,4.826871661607375,0.43466603044637664,-0.545238047262024,0
PV150,2013-01-24,Previous-day persistence,3.716874993477822,3.927321099483234,0.2104461060054122,-1.2170994590730155,0
PV150,2013-01-25,ECF,4.122895010684135,4.369752221022852,0.24685721033871613,-1.8193879972092706,13
PV150,2013-01-25,Equal-total control,4.1438354261285735,4.400910901492487,0.2570754753639146,-1.7986276863889608,0
PV150,2013-01-25,No feedback,4.143871460819543,4.4009472609467855,0.2570758001272426,-1.7985920577433039,0
PV150,2013-01-25,Previous-day persistence,3.295756258667649,3.394305272786909,0.09854901411926001,-2.640472431138232,0
PV150,2013-04-02,ECF,3.474706238567202,4.0618877367521815,0.5871814981849801,-1.2240696923010688,7
PV150,2013-04-02,Equal-total control,3.474101190394156,4.063314078327272,0.5892128879331161,-1.2246768161612724,0
PV150,2013-04-02,No feedback,3.474116589627643,4.063330551426118,0.5892139617984746,-1.2246616508604844,0
PV150,2013-04-02,Previous-day persistence,2.89781152101971,2.9563295113847072,0.058517990364997524,-1.7968719895295344,0
PV150,2013-04-03,ECF,2.5557044143805485,4.138112725311817,1.5824083109312683,-2.484517357377027,4
PV150,2013-04-03,Equal-total control,2.533033316101128,4.087414326689678,1.5543810105885496,-2.506935322618825,0
PV150,2013-04-03,No feedback,2.5330539496219227,4.087436468986398,1.5543825193644751,-2.506914929756592,0
PV150,2013-04-03,Previous-day persistence,2.197251851286582,3.0679985786068595,0.8707467273202774,-2.8400666410370867,0
PV150,2013-04-04,ECF,3.255591326998398,4.409433245065132,1.1538419180667336,-1.8562922862446636,7
PV150,2013-04-04,Equal-total control,3.2785404603296877,4.459171560246693,1.1806310999170058,-1.833724562432465,0
PV150,2013-04-04,No feedback,3.2785439348472436,4.459173465849393,1.1806295310021486,-1.8337211277361811,0
PV150,2013-04-04,Previous-day persistence,2.0419977775053852,2.248237862983748,0.2062400854783633,-3.0631655368405806,0
PV150,2013-04-09,ECF,3.2961866917670095,4.24083964521456,0.9446529534475503,-1.6765532386227175,7
PV150,2013-04-09,Equal-total control,3.1077519010278203,4.05645754342018,0.9487056423923594,-1.8624430449223761,0
PV150,2013-04-09,No feedback,3.1077269278743356,4.0564301247334225,0.9487031968590864,-1.8624676969479432,0
PV150,2013-04-09,Previous-day persistence,2.6302739736191905,2.9650948216771225,0.3348208480579322,-2.3362958689227926,0
PV150,2013-04-10,ECF,3.976198270484901,4.6733802932136195,0.6971820227287187,-0.9229729067716089,7
PV150,2013-04-10,Equal-total control,3.979153459904632,4.677296793060302,0.6981433331556698,-0.9200534897589961,0
PV150,2013-04-10,No feedback,3.9792006409636382,4.67734486257363,0.6981442216099916,-0.9200070347497551,0
PV150,2013-04-10,Previous-day persistence,3.280288404460732,3.341281784388026,0.06099337992729378,-1.6143945330671012,0
PV150,2013-04-14,ECF,3.5248993932475754,4.162479920819396,0.6375805275718206,-1.4163580031044973,5
PV150,2013-04-14,Equal-total control,3.525195832265992,4.162898451412283,0.6377026191462912,-1.4160660907070892,0
PV150,2013-04-14,No feedback,3.525169149065686,4.162871401467875,0.637702252402189,-1.416092481685516,0
PV150,2013-04-14,Previous-day persistence,2.9498804869085173,2.995214439203222,0.04533395229470479,-1.9864752285969882,0
PV150,2013-04-15,ECF,3.449889182436141,4.196793905697568,0.7469047232614272,-1.498054244006806,8
PV150,2013-04-15,Equal-total control,3.455824447662317,4.217276159199065,0.7614517115367478,-1.4921945740094007,0
PV150,2013-04-15,No feedback,3.4558117563523867,4.2172641833288225,0.7614524269764349,-1.4922070870329625,0
PV150,2013-04-15,Previous-day persistence,2.9205184332071736,3.049607490922964,0.12908905771579032,-2.0228721562956196,0
PV150,2013-04-22,ECF,2.9952450667493937,4.187786876331662,1.1925418095822693,-2.4393582789596833,7
PV150,2013-04-22,Equal-total control,3.0605829044958535,4.25112830925199,1.190545404756136,-2.374672768142202,0
PV150,2013-04-22,No feedback,3.0605732489577133,4.251109333137678,1.1905360841799637,-2.3746822381296346,0
PV150,2013-04-22,Previous-day persistence,2.5609120672980836,2.9541881776342507,0.3932761103361674,-2.8706019378923493,0
PV150,2013-04-28,ECF,3.274300962686615,4.009938125961915,0.7356371632752993,-1.9442830403455162,7
PV150,2013-04-28,Equal-total control,3.2719827591083126,4.010133607042309,0.7381508479339959,-1.946577560451053,0
PV150,2013-04-28,No feedback,3.2719649409026488,4.010115031492038,0.738150090589389,-1.9465951916282884,0
PV150,2013-04-28,Previous-day persistence,2.766926068256435,2.790726385177172,0.023800316920737127,-2.4473202335456885,0
PV150,2013-04-29,ECF,3.3266166596979634,4.095311128184301,0.7686944684863384,-1.6822947836950775,5
PV150,2013-04-29,Equal-total control,3.326613268656671,4.095425405426218,0.7688121367695467,-1.682298134690239,0
PV150,2013-04-29,No feedback,3.3266166596979634,4.095428833196627,0.7688121734986637,-1.682294783695115,0
PV150,2013-04-29,Previous-day persistence,2.772770257309663,2.8046141404489644,0.03184388313930136,-2.2312307778615508,0
PV150,2013-04-30,ECF,3.0547127528161697,4.091054275091992,1.0363415222758219,-1.9714714899333827,7
PV150,2013-04-30,Equal-total control,3.0050013903239132,4.0417145704942685,1.0367131801703553,-2.020544248444374,0
PV150,2013-04-30,No feedback,3.005009201303797,4.041725588567723,1.036716387263926,-2.0205365162343183,0
PV150,2013-04-30,Previous-day persistence,2.509572046976341,2.7666504274626993,0.257078380486358,-2.512159896568159,0
PV150,2013-05-01,ECF,3.3139968064402634,4.394350144870346,1.0803533384300827,-1.757913826403728,4
PV150,2013-05-01,Equal-total control,3.318175036561369,4.400816202944864,1.082641166383495,-1.7537831885163058,0
PV150,2013-05-01,No feedback,3.3181803177454023,4.4008216880563245,1.0826413703109217,-1.7537780174496713,0
PV150,2013-05-01,Previous-day persistence,2.6049749027183067,2.7125490874394966,0.10757418472118982,-2.461082601411745,0
PV150,2013-05-06,ECF,3.1150443653484414,3.9329085281584177,0.8178641628099763,-2.436220262275616,3
PV150,2013-05-06,Equal-total control,3.1142208091224486,3.931968536242342,0.8177477271198932,-2.4370313857541177,0
PV150,2013-05-06,No feedback,3.1142232625144834,3.9319707112111297,0.8177474486966465,-2.4370289633587063,0
PV150,2013-05-06,Previous-day persistence,2.3809601737211743,2.441835819146152,0.06087564542497793,-3.164545547107276,0
PV150,2013-05-07,ECF,3.089627684977061,4.058679644239654,0.9690519592625932,-2.4117241998765713,7
PV150,2013-05-07,Equal-total control,3.0695429975625794,4.048110003489096,0.9785670059265168,-2.4315320895473014,0
PV150,2013-05-07,No feedback,3.0695470498145077,4.04811175203484,0.9785647022203323,-2.4315280857435786,0
PV150,2013-05-07,Previous-day persistence,2.632589759960077,2.850552465963962,0.2179627060038854,-2.8652836872440584,0
PV150,2013-05-08,ECF,3.2684803694337,4.27720941764643,1.00872904821273,-2.136385414961873,9
PV150,2013-05-08,Equal-total control,3.3001852409157255,4.338356173341129,1.0381709324254036,-2.1050561034857114,0
PV150,2013-05-08,No feedback,3.30017270243193,4.33834286316577,1.03817016073384,-2.105068417767159,0
PV150,2013-05-08,Previous-day persistence,2.708607020173438,2.8833454261422204,0.17473840596878254,-2.6925200083929797,0
PV150,2013-05-09,ECF,3.2383435247561487,4.225482171380794,0.9871386466246461,-2.0935811134229967,9
PV150,2013-05-09,Equal-total control,3.235654944964385,4.234592884546695,0.9989379395823101,-2.096162820668384,0
PV150,2013-05-09,No feedback,3.235660338244538,4.234598138816807,0.9989378005722696,-2.096157452724015,0
PV150,2013-05-09,Previous-day persistence,2.5938080236015826,2.734148145292518,0.14034012169093507,-2.733684817523059,0
PV150,2013-05-10,ECF,3.103183926071198,3.9827607354695242,0.879576809398326,-2.113538155623748,5
PV150,2013-05-10,Equal-total control,3.103166677661209,3.9836264095843377,0.8804597319231287,-2.1135552180927415,0
PV150,2013-05-10,No feedback,3.103163399695695,3.9836231070877446,0.8804597073920494,-2.1135584560870324,0
PV150,2013-05-10,Previous-day persistence,2.4721218504389775,2.4956474199042313,0.023525569465253658,-2.739456776694939,0
PV150,2013-05-11,ECF,3.202247126796978,4.556497537619514,1.354250410822536,-2.417329817089307,6
PV150,2013-05-11,Equal-total control,2.912346175754446,4.20646530890269,1.2941191331482433,-2.704102130354848,0
PV150,2013-05-11,No feedback,2.9123399861511903,4.206457041712042,1.2941170555608519,-2.7041083030424122,0
PV150,2013-05-11,Previous-day persistence,2.376538377644853,2.740067243054368,0.36352886540951473,-3.2358272385190636,0
PV150,2013-05-12,ECF,3.616999310689085,4.821922101599787,1.204922790910702,-1.9341722616616708,4
PV150,2013-05-12,Equal-total control,3.6170254043087615,4.822145844760686,1.2051204404519256,-1.9341459709067248,0
PV150,2013-05-12,No feedback,3.6170296352842435,4.822150270536223,1.2051206352519794,-1.9341417959957212,0
PV150,2013-05-12,Previous-day persistence,2.7832823933719033,2.9443538333592247,0.16107143998732143,-2.7622605465790198,0
PV150,2013-05-16,ECF,2.980590346836281,4.01137956368666,1.030789216850379,-2.9654165197081053,2
PV150,2013-05-16,Equal-total control,2.9807753892525692,4.011565034744356,1.0307896454917862,-2.9652328048239593,0
PV150,2013-05-16,No feedback,2.980774451932769,4.011563668783149,1.030789216850379,-2.965233733743633,0
PV150,2013-05-16,Previous-day persistence,2.3486047134760657,2.4296891288640197,0.08108441538795419,-3.5922493889074603,0
PV150,2013-05-17,ECF,3.0481985705778536,4.0357166566196465,0.9875180860417939,-3.0652866518114203,3
PV150,2013-05-17,Equal-total control,3.047662656565299,4.035648061111621,0.9879854045463221,-3.065821295818851,0
PV150,2013-05-17,No feedback,3.0476649688318638,4.035649987946817,0.9879850191149533,-3.065819093686325,0
PV150,2013-05-17,Previous-day persistence,2.5760120695043516,2.606567969759379,0.03055590025502737,-3.5344617010190706,0
PV150,2013-05-18,ECF,3.0173528216722354,3.979263304551158,0.9619104828789224,-3.3460482452008904,3
PV150,2013-05-18,Equal-total control,3.021796040141537,3.9846502331467764,0.9628541930052396,-3.3416650836962583,0
PV150,2013-05-18,No feedback,3.0217484081590396,3.984601323066761,0.9628529149077216,-3.3417121535653904,0
PV150,2013-05-18,Previous-day persistence,2.377218037027473,2.39759471095837,0.02037667393089665,-3.9813396114061823,0
PV150,2013-05-19,ECF,3.000479472278171,3.9797365726938727,0.9792571004157017,-3.617780787385038,4
PV150,2013-05-19,Equal-total control,2.998849312590367,3.9794360123408,0.9805866997504336,-3.6194058684146793,0
PV150,2013-05-19,No feedback,2.998861359496492,3.9794484651858113,0.9805871056893195,-3.6193939935826323,0
PV150,2013-05-19,Previous-day persistence,2.39968188135527,2.4337001462630763,0.03401826490780664,-4.214304501601904,0
PV150,2013-05-20,ECF,2.9191937488099837,3.9022889834331815,0.9830952346231981,-3.6760632511006697,2
PV150,2013-05-20,Equal-total control,2.922821634627442,3.906475443720905,0.9836538090934636,-3.6724768011845175,0
PV150,2013-05-20,No feedback,2.9228682869990656,3.9065226234317594,0.9836543364326935,-3.6724306890133,0
PV150,2013-05-20,Previous-day persistence,2.2948071163692334,2.3422890910067182,0.04748197463748465,-4.2958495424191945,0
PV150,2013-05-21,ECF,2.930216253894619,4.03083542379545,1.1006191699008316,-3.289777414683272,3
