Setting,Date,Delivery (MWh),Authorization (MWh),Unused authorization (MWh)
R05_POS_POINT,2013-05-20,2.810609263625845,3.7510927039501376,0.9404834403242925
R05_POS_POINT,2013-05-21,2.8238063241157314,3.8651932660770028,1.0413869419612714
R05_POS_POINT,2013-05-22,2.014359748767687,3.9987634692473133,1.984403720479626
R05_POS_POINT,2013-05-23,1.7874529103740486,4.247678755986608,2.4602258456125594
R05_POS_POINT,2013-05-24,2.9149143845525534,4.370485422236684,1.4555710376841309
R05_POS_POINT,2013-05-25,2.69512344622516,3.8953352932200183,1.2002118469948582
R05_POS_POINT,2013-05-26,2.8165286739099114,3.8553522449913538,1.0388235710814424
R05_POS_POINT,2013-05-27,2.414197690173118,3.9741176474145394,1.5599199572414215
R05_POS_POINT,2013-05-28,2.7053979436185527,4.472684395030761,1.7672864514122084
R05_POS_POINT,2013-05-29,2.9481195619413163,4.356572018308374,1.408452456367058
R05_POS_POINT,2013-05-30,3.2489680881619436,4.289111263797572,1.0401431756356287
R05_POS_POINT,2013-05-31,2.776166900908389,3.886054704634471,1.1098878037260818
R05_POS_POINT,2013-06-01,2.1938916207060046,3.753027014842763,1.5591353941367583
R05_POS_POINT,2013-06-02,0.8615175133415381,4.265707937527928,3.40419042418639
R05_POS_POINT,2013-06-03,2.894385535403778,4.210185147334023,1.3157996119302453
R05_POS_POINT,2013-06-04,2.542399315349576,3.6937252663244955,1.1513259509749196
R05_POS_POINT,2013-06-05,2.3861993830347585,3.779823932090099,1.3936245490553403
R05_POS_POINT,2013-06-06,2.391537085548789,4.196715573250297,1.8051784877015082
R05_POS_POINT,2013-06-07,2.169145375450785,4.261950630564428,2.092805255113643
R05_POS_POINT,2013-06-08,2.290656841541996,4.1480527952147845,1.8573959536727886
R05_POS_POINT,2013-06-09,2.9262321842990895,4.150272709517333,1.2240405252182436
R05_POS_POINT,2013-06-10,2.6579797890903545,4.312698733572844,1.65471894448249
R05_POS_POINT,2013-06-11,2.8842214772448798,4.044172539460919,1.1599510622160394
R05_POS_POINT,2013-06-12,1.473595061425272,3.890015518620219,2.4164204571949472
R05_POS_POINT,2013-06-13,2.9176201073036703,4.29802094054764,1.3804008332439697
R05_POS_POINT,2013-06-14,2.5990971136341745,3.700715453846333,1.1016183402121587
R05_POS_POINT,2013-06-15,2.3648001603695334,4.036774935323448,1.6719747749539149
R05_POS_POINT,2013-06-16,2.739304484806501,3.9757748588492845,1.2364703740427836
R05_POS_POINT,2013-06-17,2.504713806384053,3.7119964476548244,1.2072826412707713
R05_POS_POINT,2013-06-18,2.7980171223303802,3.9838684407588514,1.1858513184284711
R05_POS_POINT,2013-06-19,2.63389291217429,3.9762061545273273,1.3423132423530375
R05_POS_POINT,2013-06-23,1.68301456647101,3.887041857396775,2.2040272909257648
R05_POS_POINT,2013-06-24,2.4560289126737214,4.230802684062121,1.7747737713884
R05_POS_POINT,2013-06-25,2.0845123167984,3.8700137660311866,1.7855014492327865
R05_POS_POINT,2013-06-26,2.272242203436921,3.8266139914830193,1.5543717880460983
R05_POS_POINT,2013-06-27,1.9318606808793433,3.86930007084802,1.9374393899686766
R05_POS_LOWER_BOUND,2013-01-02,3.7162597814398657,4.372053087630601,0.6557933061907351
R05_POS_LOWER_BOUND,2013-01-03,4.117008309302434,4.423659561283494,0.30665125198106047
R05_POS_LOWER_BOUND,2013-01-04,4.205292280387266,4.473143992180298,0.2678517117930319
